url_prob,text_prob,label
0.00000000,0.00000000,0
0.00000000,0.10000000,0
0.00000000,0.00000000,0
0.86290814,1.00000000,1
0.00000000,1.00000000,1
0.00000000,0.00000000,0
0.32308149,0.10000000,0
0.00000000,0.80000000,1
0.00000000,1.00000000,1
0.00000000,0.20000000,0
0.00000000,1.00000000,1
0.81427456,0.00000000,0
0.24008714,0.40000000,0
0.00000000,0.10000000,0
0.00000000,0.20000000,0
0.00000000,0.70000000,0
0.00571857,0.20000000,0
0.00000000,0.10000000,0
0.00000000,0.20000000,0
0.59806894,0.20000000,0
0.00000000,0.10000000,0
0.00000000,1.00000000,1
0.23536746,0.90000000,1
0.00208183,0.00000000,0
0.00000000,0.00000000,0
0.00000000,0.10000000,0
0.00000000,0.00000000,0
0.00000000,0.00000000,0
0.00000000,0.90000000,1
0.00000000,0.10000000,0
0.00000000,0.00000000,0
0.00000000,0.90000000,1
0.00000000,0.30000000,0
0.00000000,0.00000000,0
0.00000000,0.97356688,1
0.00000000,0.20000000,0
0.00000000,1.00000000,1
0.00918433,0.00000000,0
0.00000000,0.00000000,0
0.00000000,1.00000000,1
0.13222921,0.90000000,1
0.00000000,0.80000000,1
0.00000000,0.00000000,0
0.00000000,0.50000000,0
0.55186887,1.00000000,1
0.00000000,0.00000000,0
0.00000000,0.10000000,0
0.00000000,0.90000000,1
0.00000000,0.90000000,1
0.12516882,0.00000000,0
0.00000000,0.30000000,1
0.00000000,0.00000000,0
0.00000000,0.00000000,0
0.00000000,0.75784158,1
0.00000000,0.00000000,0
0.00000000,0.90000000,1
0.00000000,0.20000000,0
0.00000000,0.80000000,1
0.00000000,0.00000000,0
0.00000000,0.80000000,1
0.00000000,0.70000000,1
0.00000000,0.00000000,0
0.35118501,0.10000000,0
0.00000000,0.20000000,0
0.08417321,0.00000000,0
0.00000000,1.00000000,1
0.00000000,0.60000000,1
0.00000000,0.10000000,0
0.00000000,0.90000000,1
0.00000000,0.00000000,0
0.88349221,0.10000000,0
0.00000000,0.00000000,0
0.00000000,0.10000000,0
0.00000000,0.00000000,0
0.00000000,0.10000000,0
0.00000000,1.00000000,1
0.00000000,0.00000000,0
0.00000000,0.10000000,0
0.13381173,1.00000000,1
0.00000000,1.00000000,1
0.00000000,1.00000000,1
0.00000000,0.40000000,1
0.00000000,0.00000000,0
0.32308149,0.00000000,0
0.00000000,0.30000000,0
0.00000000,0.40000000,0
0.13381173,0.20000000,0
0.32308149,0.10000000,0
0.00000000,0.30000000,0
0.00000000,0.70000000,1
0.00000000,0.00000000,0
0.00000000,0.10000000,0
0.00000000,0.90000000,1
0.00000000,0.80000000,1
0.00000000,0.00000000,0
0.00000000,0.60000000,1
0.00000000,1.00000000,1
0.00000000,0.00000000,0
0.00000000,0.90000000,1
0.00000000,1.00000000,1
0.04032795,0.20000000,0
0.00000000,1.00000000,1
0.00000000,1.00000000,1
0.00000000,1.00000000,1
0.00000000,0.60000000,1
0.00000000,0.75784158,0
0.00000000,0.60000000,1
0.00000000,0.00000000,0
0.00000000,0.70000000,1
0.40028839,0.40000000,0
0.00000000,0.90000000,1
0.00000000,0.00000000,0
0.13381173,0.30000000,0
0.00000000,0.30000000,0
0.43415849,0.10000000,0
0.00000000,1.00000000,1
0.00000000,1.00000000,1
0.00000000,0.00000000,0
0.00000000,0.00000000,0
0.00000000,0.90000000,1
0.00000000,0.00000000,0
0.00000000,0.10000000,0
0.00000000,0.20000000,0
0.04019042,0.10000000,0
0.00000000,1.00000000,1
0.00639696,0.10000000,0
0.16385092,1.00000000,1
0.00000000,0.90000000,1
0.27790394,0.10000000,0
0.00000000,0.75784158,1
0.00000000,0.80000000,1
0.13222921,1.00000000,1
0.00000000,1.00000000,1
0.00000000,1.00000000,1
0.16385092,1.00000000,1
0.00000000,0.10000000,0
0.00000000,0.90000000,1
0.00000000,0.80000000,1
0.00000000,1.00000000,1
0.00000000,0.50000000,0
0.43415849,0.00000000,0
0.00000000,1.00000000,1
0.00000000,0.00000000,0
0.28908001,0.40000000,0
0.00000000,0.10000000,0
0.00000000,0.20000000,0
0.00000000,0.10000000,0
0.00000000,0.00000000,0
0.00000000,0.00000000,0
0.00000000,0.20000000,0
0.13381173,0.00000000,0
0.00959004,0.00000000,0
0.10756834,0.90000000,1
0.00000000,0.10000000,0
0.00000000,0.10000000,0
0.00000000,1.00000000,1
0.00000000,0.00000000,0
0.00000000,0.90000000,1
0.00000000,0.00000000,0
0.00000000,1.00000000,1
0.00000000,0.10000000,0
0.00000000,0.00000000,0
0.00000000,0.00000000,0
0.00000000,0.30000000,0
0.00000000,0.00000000,0
0.00000000,0.00000000,0
0.00000000,0.90000000,1
0.90183847,0.10000000,0
0.25038970,0.10000000,0
0.00000000,0.20000000,0
0.00000000,0.90000000,1
0.00000000,1.00000000,1
0.00000000,0.40000000,0
0.00000000,0.00000000,0
0.00000000,1.00000000,1
0.32308149,0.00000000,0
0.00000000,0.10000000,0
0.00000000,1.00000000,1
0.32308149,0.70000000,1
0.16693680,0.10000000,0
0.00000000,0.10000000,0
0.00000000,0.10000000,0
0.00000000,0.00000000,0
0.06282602,0.10000000,0
0.00000000,0.00000000,0
0.00000000,0.10000000,0
0.00000000,0.50000000,0
0.00000000,0.00000000,0
0.02090359,0.50000000,0
0.10756834,0.70000000,1
0.00000000,0.90000000,1
0.00000000,0.10000000,0
0.00639696,0.00000000,0
0.00000000,0.20000000,0
0.00000000,1.00000000,1
0.00000000,0.20000000,0
0.00000000,0.80000000,1
0.00000000,0.70000000,0
0.00000000,0.00000000,0
0.00000000,0.20000000,0
0.00000000,0.20000000,0
0.00000000,0.10000000,0
0.00000000,1.00000000,1
0.00000000,0.20000000,0
0.00639696,0.00000000,0
0.00230446,0.00000000,0
0.00000000,0.87356688,1
0.00000000,0.00000000,0
0.13381173,0.00000000,0
0.00000000,0.10000000,0
0.00000000,0.20000000,0
0.00000000,0.10000000,0
0.00000000,0.00000000,0
0.24542600,1.00000000,1
0.00000000,0.60000000,1
0.00000000,0.00000000,0
0.43415849,0.20000000,0
0.00000000,0.00000000,0
0.00000000,0.90000000,1
0.00000000,0.20000000,0
0.00000000,1.00000000,1
0.00000000,1.00000000,1
0.00000000,1.00000000,1
0.18754911,0.30000000,0
0.00000000,0.00000000,0
0.00326380,0.10000000,0
0.13222921,0.00000000,0
0.00000000,0.80000000,1
0.00000000,0.00000000,0
0.00000000,0.10000000,0
0.00000000,0.00000000,0
0.00000000,1.00000000,1
0.00000000,0.00000000,0
0.00000000,1.00000000,1
0.00000000,1.00000000,1
0.00000000,0.20000000,0
0.00000000,0.50000000,0
0.75071503,0.50000000,0
0.00000000,1.00000000,1
0.00000000,0.70000000,1
0.00000000,0.10000000,0
0.00000000,1.00000000,1
0.00000000,0.00000000,0
0.00000000,0.75784158,1
0.32308149,0.10000000,0
0.00000000,1.00000000,1
0.00000000,0.00000000,0
0.00000000,0.10000000,0
0.00000000,0.00000000,0
0.00000000,1.00000000,1
0.24542600,0.10000000,0
0.84095893,0.20000000,0
0.24542600,0.20000000,0
0.00000000,0.20000000,0
0.97110468,0.90000000,1
0.00000000,0.90000000,1
0.00000000,0.20000000,0
0.00000000,0.90000000,1
0.00000000,0.00000000,0
0.00000000,0.97356688,1
0.00000000,0.90000000,1
0.00000000,0.90000000,1
0.00000000,0.20000000,0
0.00000000,0.00000000,0
0.00000000,0.90000000,1
0.00000000,0.90000000,1
0.00000000,0.90000000,1
0.00000000,1.00000000,1
0.00000000,0.40000000,0
0.00000000,1.00000000,1
0.00000000,0.80000000,0
0.00000000,0.00000000,0
0.00000000,0.90000000,1
0.00000000,1.00000000,1
0.00000000,0.90000000,1
0.24459854,1.00000000,1
